Effective area for Roman (m^2) - parameters as of 2021 06 14

Mirror surfaces are coated with Ag

   Wave      F062      F087      F106      F129      F158      F184      F146      F213    SNPrism   Grism_1stOrder  Grism_0thOrder
     0.453    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.454    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.455    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.456    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.457    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.458    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.459    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.460    0.0003    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.461    0.0005    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.462    0.0009    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.463    0.0017    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.464    0.0030    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.465    0.0052    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.466    0.0088    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.467    0.0143    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.468    0.0226    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.469    0.0348    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.470    0.0520    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.471    0.0756    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.472    0.1069    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.473    0.1473    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.474    0.1976    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.475    0.2583    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.476    0.3294    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.477    0.4099    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.478    0.4984    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.479    0.5924    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.480    0.6892    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.481    0.7849    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.482    0.8771    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.483    0.9629    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.484    1.0402    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.485    1.1080    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.486    1.1651    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.487    1.2114    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.488    1.2477    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.489    1.2755    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.490    1.2956    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.491    1.3092    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.492    1.3180    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.493    1.3236    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.494    1.3266    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.495    1.3277    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.496    1.3276    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.497    1.3271    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.498    1.3263    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.499    1.3252    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.500    1.3243    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.501    1.3242    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.502    1.3245    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.503    1.3251    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.504    1.3260    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.505    1.3273    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.506    1.3289    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.507    1.3308    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.508    1.3331    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.509    1.3357    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.510    1.3386    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.511    1.3417    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.512    1.3453    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.513    1.3491    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.514    1.3532    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.515    1.3572    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.516    1.3615    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.517    1.3663    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.518    1.3716    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.519    1.3771    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.520    1.3827    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.521    1.3886    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.522    1.3948    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.523    1.4013    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.524    1.4079    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.525    1.4144    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.526    1.4211    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.527    1.4284    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.528    1.4358    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.529    1.4431    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.530    1.4506    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.531    1.4587    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.532    1.4669    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.533    1.4749    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.534    1.4831    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.535    1.4918    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.536    1.5006    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.537    1.5092    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.538    1.5180    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.539    1.5272    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.540    1.5366    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.541    1.5458    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.542    1.5550    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.543    1.5643    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.544    1.5737    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.545    1.5831    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.546    1.5928    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.547    1.6028    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.548    1.6130    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.549    1.6229    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.550    1.6326    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.551    1.6424    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.552    1.6524    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.553    1.6625    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.554    1.6730    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.555    1.6840    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.556    1.6952    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.557    1.7062    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.558    1.7171    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.559    1.7283    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.560    1.7396    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.561    1.7510    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.562    1.7625    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.563    1.7742    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.564    1.7859    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.565    1.7976    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.566    1.8095    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.567    1.8213    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.568    1.8332    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.569    1.8452    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.570    1.8571    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.571    1.8691    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.572    1.8811    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.573    1.8930    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.574    1.9049    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.575    1.9168    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.576    1.9286    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.577    1.9403    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.578    1.9520    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.579    1.9636    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.580    1.9751    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.581    1.9865    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.582    1.9978    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.583    2.0089    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.584    2.0200    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.585    2.0308    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.586    2.0415    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.587    2.0521    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.588    2.0624    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.589    2.0726    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.590    2.0826    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.591    2.0923    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.592    2.1018    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.593    2.1111    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.594    2.1201    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.595    2.1289    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.596    2.1374    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.597    2.1456    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.598    2.1535    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.599    2.1613    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.600    2.1685    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.601    2.1745    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.602    2.1803    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.603    2.1864    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.604    2.1924    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.605    2.1981    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.606    2.2036    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.607    2.2088    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.608    2.2140    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.609    2.2190    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.610    2.2237    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.611    2.2277    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.612    2.2315    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.613    2.2357    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.614    2.2399    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.615    2.2439    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.616    2.2477    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.617    2.2515    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.618    2.2550    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.619    2.2579    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.620    2.2607    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.621    2.2638    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.622    2.2671    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.623    2.2704    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.624    2.2732    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.625    2.2756    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.626    2.2787    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.627    2.2821    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.628    2.2857    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.629    2.2892    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
